Name Designation / Substation	Customer Name	Country of Installation	Transformer Type	Asset Group	Serial Number	Manufacturing Year	Brand	Operational status	Application	Number of Phases	Insulation type	Typ of Oil	Type of cooling equipment	Rated voltage (HV)	Rated voltage (MV)	Rated voltage (LV)	Rated power	Vector group	Number of Tap Changer	Typ of Tap Changer	Type of cooling and level
Lomonosovo		Russia	TRDN-63000/110	Power Transformers	Y100003	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	114.989		10.5	63	YN/D-D-11-11	1	VM III 350Y-72.5/B-10191 WR	ONAF
Yubileynaya		Russia	TRDN-63000/220	Power Transformers	Y100004	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	229.964		11	63	YN/D-D-11-11	1	M III 350Y-72.5/C-14273 WR	ONAF
Yubileynaya		Russia	TRDN-63000/220	Power Transformers	Y100005	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	229.964		11	63	YN/D-D-11-11	1	M III 350Y-72.5/C-14273 WR	ONAF
"PS ""CRP-7"""		Russia	TRDN-20000/35	Power Transformers	Y100006	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	35		6.3-6.3	20	YN/D-D-11-11	1	V III 350Y-76-10193 W	ONAF
"PS ""CRP-7"""		Russia	TRDN-20000/35	Power Transformers	Y100007	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	35		6.3-6.3	20	YN/D-D-11-11	1	V III 350Y-76-10193 W	ONAF
KZHD		Kazakhstan	TDTNZH-40000/110	Power Transformers	Y100008	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	27.5	11	40	YN/D-D-11-11	1	V III 350Y-76-10-191 WR	ONAF
KZHD		Kazakhstan	TDTNZH-40000/110	Power Transformers	Y100009	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	27.5	11	40	YN/D-D-11-11	1	V III 350Y-76-10-191 WR	ONAF
KZHD		Kazakhstan	TDTNZH-40000/110	Power Transformers	Y100010	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	27.5	11	40	YN/D-D-11-11	1	V III 350Y-76-10-191 WR	ONAF
KZHD		Kazakhstan	TDTNZH-40000/110	Power Transformers	Y100011	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	27.5	11	40	YN/D-D-11-11	1	V III 350Y-76-10-191 WR	ONAF
KZHD		Kazakhstan	TDTNZH-40000/110	Power Transformers	Y100012	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	27.5	11	40	YN/D-D-11-11	1	V III 350Y-76-10-191 WR	ONAF
Uralskaya Stal	"OAO ""Uralskaya Stal"""	Russia	TRDN-80000/110	Power Transformers	Y100013	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115		10.5-10.5	80	YN/D-D-11-11	1	M III 500Y-72.5/B-10 191 WR	ONAF
Mosenergo Tec-20	"PAO ""Mosenergo"""	Russia	?DC-125000/220	Power Transformers	Y100014	2012	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	125	YN/D-11	-	-	OFAF
Mosenergo Tec-20	"PAO ""Mosenergo"""	Russia	?DC-125000/220	Power Transformers	Y100015	2012	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	125	YN/D-11	-	-	OFAF
Mosenergo Tec-21	"PAO ""Mosenergo"""	Russia	?DC-125000/220	Power Transformers	Y100016	2012	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	125	YN/D-11	-	-	OFAF
Mosenergo Tec-21	"PAO ""Mosenergo"""	Russia	?DC-125000/220	Power Transformers	Y100017	2012	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	125	YN/D-11	-	-	OFAF
Mosenergo Tec-22	"PAO ""Mosenergo"""	Russia	?DC-125000/220	Power Transformers	Y100018	2012	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	115		10.5	125	YN/D-11	-	-	OFAF
Tec-4		Russia	?DC-160000/110	Power Transformers	Y100019	2012	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan/Pump	121		10.5	160	YN/D-11	-	-	OFAF
Yandex	"OOO ""Yandex"""	Russia	TRDN-63000/110	Power Transformers	Y100020	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350Y-76-10 191 WR	ONAF
Yandex	"OOO ""Yandex"""	Russia	TRDN-63000/110	Power Transformers	Y100021	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115		10.5-10.5	63	YN/D-D-11-11	1	V III 350Y-76-10 191 WR	ONAF
Prakseir		Russia	TRDN-125000/110	Power Transformers	Y100022	2012	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		10.5-10.5	125	YN/D-D-11-11	1	VRC III 700Y-72.5/B-12 23 3WR	ONAF
Prakseir		Russia	TRDN-125000/110	Power Transformers	Y100023	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		10.5-10.5	125	YN/D-D-11-11	1	VRC III 700Y-72.5/B-12 23 3WR	ONAF
Sovetsko-Sosninskaya		Russia	ATDCTN 125000\220	Power Transformers	Y100024	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan/Pump	230	121	6.6	125	YN ?uto/D-0-11	1	M I 802 170/C 14 131 WR	ONAN/ONAF/OFAF
Potapovskaya	"??? ""Udmurtenergoneft"" "	Russia	TDTN-40000/110	Power Transformers	Y100027	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	38.5	6.6	40	YN/YN/D-0-11	1	V III 350Y-76-10 191 W	ONAF
Potapovskaya	"??? ""Udmurtenergoneft"" "	Russia	TDTN-40000/110	Power Transformers	Y100028	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	115	38.5	6.6	40	YN/YN/D-0-11	1	V III 350Y-76-10 191 W	ONAF
Biektau	"??? ""Udmurtenergoneft"" "	Russia	TDN-16000/35	Power Transformers	Y100029	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	35		6.3	16	YN/D-11	1	V III 350 Y-76.0/-10 19 3 W	ONAF
Biektau	"??? ""Udmurtenergoneft"" "	Russia	TDN-16000/35	Power Transformers	Y100030	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	35		6.3	16	YN/D-11	1	V III 350 Y-76.0/-10 19 3 W	ONAF
VAZ Stroitelnaya	"ZAO ""Energetika I svyaz stroitelstva"""	Russia	TDTN-40000/110	Power Transformers	Y100031	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	115	38.5	6.6	40	YN/YN/D-0-11	1	V III 350 Y-76.0/-10 19 1 W	ONAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	?DC-160000/220	Power Transformers	Y100032	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	160	YN/D-11	-	-	OFAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	?DC-160000/220	Power Transformers	Y100033	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	GK	Fan/Pump	242		10.5	160	YN/D-11	-	-	OFAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	TRDNS-25000/110	Power Transformers	Y100034	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	Nynas Nytro 10XN	Fan	115		6.3-6.3	25	YN/D-D-11-11	1	V III 200Y-76-10193 WR	ONAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	TRDNS-25000/10	Power Transformers	Y100035	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	10.5		6.3-6.3	25	D/D-D-0-0	1	RS5.3 III 1250 ? 41.5/K-10193 W	ONAF
Nyzhnekamskaya Tec	"OAO ""Tatneft"""	Russia	TRDNS-25000/10	Power Transformers	Y100036	2013	Siemens	Delivered	Network transformer	3 Phase Design	Fluid	GK	Fan	10.5		6.3-6.3	80	D/D-D-0-0	1	RS5.3 III 1250 ? 41.5/K-10193 W	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	?D-80000/110	Power Transformers	Y100037	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	?D-80000/110	Power Transformers	Y100038	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	80	YN/D-11	-	-	ONAF
Stavrolen	Synergetic Projects/ Lukoyl	Russia	?D-63000/110	Power Transformers	Y100039	2013	Siemens	Delivered	Generator step-up (GSU) transformer	3 Phase Design	Fluid	Nynas Nytro 11GX	Fan	121		10.5	63	YN/D-11	-	-	ONAF
